siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
D03-CHP1_CHIL,201307,124062,188988,232581,NA,30823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03-GOM1_CHIL,213708,136442,219230,232824,95725,132638,165788,149405,96995,101289,146414,103914,103576,122041,128347,180950
D03-HOR1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03-NPV1_CHIL,146459,88981,127884,196486,59207,94274,85421,83646,57095,66654,83835,77449,71195,69145,71292,122109
D03-STB1_CHIL,535789,327901,562453,672304,268090,350538,347423,316035,197160,213771,286417,210780,230919,250658,253285,366074
D04-DNP1_CHIL,168882,105280,161031,238594,65912,104368,103836,83713,57383,58052,103108,79312,77844,88487,94374,152050
D04-EDW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D04-FGP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D04-RDP1_CHIL,165269,99050,128065,202011,74208,116495,104054,86301,61794,67953,91144,98241,76371,80451,82457,142918
D04-ROS0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D05-ADC2_CHIL,NA,NA,NA,NA,45427,45584,82927,68227,50651,51114,71508,48434,NA,13677,NA,NA
D05-BRP1_CHIL,98650,64718,100560,125447,40267,68182,79890,68726,53541,46394,83249,57272,49373,55171,59641,79610
D05-MIA1_CHIL,233526,156769,228575,292082,102021,170479,151894,140140,117054,96720,160361,95741,113517,116499,126749,169305
D05-PRC1_CHIL,79250,52212,91220,97787,40025,57289,86371,68409,45996,40531,84610,53326,40186,43047,60348,66843
D06-KCG1_CHIL,205073,130023,167105,305095,90931,162756,122028,105036,108505,112898,152850,165568,151482,150500,133466,206649
D07-ASC0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D07-NOC1_CHIL,112387,61094,124511,150198,43997,71585,63056,51097,43230,46105,94347,50545,45061,58630,82942,96343
D08-CCC1_CHIL,140097,85824,166116,186086,51204,91580,81379,72819,40418,41665,74649,48916,37930,42203,53260,67295
D08-DAW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D08-DAW2_CHIL,95690,58861,98831,107893,45023,62318,75655,67152,50415,46170,75785,49287,40178,48527,47893,64455
D09-CLG0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D09-RYW1_CHIL,4235,1559,3685,4585,3455,2754,4968,5038,2036,2111,3092,1976,885,1398,1882,2863
D09-VTC1_CHIL,149413,92082,167403,189290,48752,95984,76060,69221,59835,58348,115282,72416,66901,72328,81509,110617
D10-CAN0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10-MAC1_CHIL,6310,3189,9160,9307,3211,4691,7782,6407,3114,3029,4963,2319,1467,1630,2224,3138
D10-VHC1_CHIL,210848,132738,195815,273499,79402,136432,113785,99246,80820,73478,140217,118548,90330,101808,117685,159752
J01-BBS1_CHIL,1022816,544955,1072996,1048387,338331,541240,415604,303194,188450,195052,485108,361100,371907,302405,488809,612763
J01-CLP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J01-LMP1_CHIL,1632954,758853,2279339,1911950,489672,723958,988996,738531,451326,462599,1159456,869109,496857,573204,1088143,1190686
J01-NOR1_CHIL,5001350,2143985,7825458,5764068,1258661,2188995,2418315,1962379,1270468,1197921,3949845,2554880,1599969,1716099,3575121,4081968
J01-SEP1_CHIL,2000133,1196473,2140157,2368331,768094,1247322,1044811,1058035,738452,744449,1123817,845685,828688,879658,956796,1340058
J01-SKP1_CHIL,2925727,1804798,2951945,3985429,1356134,2069476,1733736,1612396,1247123,1393517,1852266,1666786,1607486,1646388,1611693,2690433
J01-UIC1_CHIL,3130663,1933230,2742689,4529414,1337418,2192067,1423300,1568693,1182041,1402362,1634218,1970493,1920073,1858673,1597385,3159203
R02-DPG1_CHIL,301825,186733,338399,377470,163587,211858,217456,178646,130632,130158,185367,148770,118922,131377,145834,198160
R02-FRP1_CHIL,65969,38777,63435,59664,21052,30789,30096,21931,12096,13962,20857,13879,12780,11568,15856,21827
