siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
R02-DPG1_CHIL,122,116,124,121,94,100,96,97,77,70,80,82,76,83,89,94
R02-FRP1_CHIL,105,88,107,101,69,78,81,71,52,57,60,45,45,50,61,58
R02-HRF1_CHIL,NA,NA,NA,NA,101,96,102,92,66,73,75,68,74,69,78,84
R03-AUP1_CHIL,160,149,160,157,133,147,141,125,96,97,112,98,94,102,106,106
R03-CPG1_CHIL,124,118,130,135,102,113,106,106,91,88,89,79,79,86,90,92
R03-EUC1_CHIL,153,138,157,148,111,120,120,116,102,96,100,95,90,92,104,117
R03-MAP1_CHIL,152,138,155,147,121,121,127,121,98,101,104,96,93,98,106,118
R04-MMW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04-MMW3_CHIL,41,40,43,42,40,41,41,40,36,38,38,35,34,35,35,34
R04-SCH1_CHIL,108,107,120,117,102,106,102,103,93,94,90,83,83,82,83,92
R05-FMG1_CHIL,29,28,31,30,27,26,29,29,21,23,26,23,19,18,24,19
R05-GOC1_CHIL,82,75,84,85,60,65,67,70,55,53,60,50,52,51,56,50
R05-MTC1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05-STP1_CHIL,86,78,82,79,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R06-OTB1_CHIL,185,176,187,188,156,176,169,177,150,160,149,148,151,159,161,171
R06-SLT2_CHIL,39,36,41,37,33,32,39,37,30,32,28,27,23,21,21,24
R06-YOW1_CHIL,21,21,21,22,20,21,18,20,16,15,16,15,13,13,13,15
R07-FSP1_CHIL,91,87,94,92,80,93,88,88,75,75,72,69,62,69,66,71
R07-GOF1_CHIL,26,28,30,33,22,26,28,34,25,24,27,24,28,29,21,26
R07-MMP1_CHIL,19,17,23,20,16,22,18,15,17,15,15,12,12,12,12,14
R07-YHR1_CHIL,88,83,89,89,71,81,79,77,68,68,69,66,66,63,66,69
R08-DAP1_CHIL,47,39,48,48,33,37,40,37,29,36,35,29,30,30,35,34
R08-PAP1_CHIL,141,131,149,148,123,140,130,133,127,122,129,117,115,119,117,120
R08-VLG1_CHIL,79,67,82,80,67,76,75,77,67,64,71,66,68,67,70,67
R08-WBK1_CHIL,24,17,21,23,20,20,19,20,16,17,17,18,17,19,19,19
