siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
LRAR_LRAR-WIL1,NA,NA,NA,NA,NA,NA,9,13,19,8,2,8,6,6,3,0
NACA_NCAP-DC-ARB1,0,NA,NA,NA,NA,NA,0,2,1,2,5,11,0,1,8,0
NACA_NCAP-DC-BEH1,0,NA,NA,NA,NA,NA,0,41,1,4,13,70,4,3,7,30
NACA_NCAP-DC-BHP1,0,NA,NA,NA,NA,NA,8,18,32,10,17,18,24,15,0,14
NACA_NCAP-DC-CHA1,0,NA,NA,NA,NA,NA,0,33,32,16,11,24,9,19,0,17
NACA_NCAP-DC-CON1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
NACA_NCAP-DC-FBP1,0,NA,NA,NA,NA,NA,0,4,5,5,22,2,31,13,0,15
NACA_NCAP-DC-FDU1,0,NA,NA,NA,NA,NA,0,6,8,6,50,9,9,10,10,9
NACA_NCAP-DC-FSP1,0,NA,NA,NA,NA,NA,0,27,3,12,10,0,3,36,0,13
NACA_NCAP-DC-KEN1,0,NA,NA,NA,NA,NA,0,10,11,14,9,0,12,15,6,14
NACA_NCAP-DC-NAT1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NACA_NCAP-DC-NSP1,0,NA,NA,NA,NA,NA,2,16,38,7,16,25,0,16,0,5
NACA_NCAP-DC-OLV1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NACA_NCAP-DC-PBP1,0,NA,NA,NA,NA,NA,0,4,8,6,26,8,16,0,0,7
NACA_NCAP-DC-RCC1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,5
NACA_NCAP-DC-RCP1,0,NA,NA,NA,NA,NA,0,9,24,2,0,21,8,16,8,4
NACA_NCAP-DC-RCP2,0,NA,NA,NA,NA,NA,0,4,2,1,9,21,6,7,0,7
NACA_NCAP-DC-RCP3,0,NA,NA,NA,NA,NA,0,3,2,0,4,15,9,0,0,1
